"subj","session","meanX"
"1","1",-114.222222222222
"5","1",113.23660130719
"6","1",-57.3813755521702
"7","1",134.588522588523
"8","1",-5.10321350762528
"9","1",0.0518518518518541
"10","1",-93.0808080808081
"11","1",122.042505837243
"12","1",-91.9438596491228
"13","1",-167.058479532164
"15","1",93.1140948094638
"16","1",75.7933006535948
"18","1",-6.65277777777778
"19","1",340.452513826043
"20","1",-35.8899831649832
"1","2",-129.451461988304
"2","2",-64.9805224867725
"5","2",114.598765432099
"6","2",-177.495826460739
"7","2",-21.6761695906433
"8","2",-39.575730994152
"9","2",83.6412280701754
"10","2",5.07070707070707
"12","2",-44.7910981156595
"13","2",-88.9907407407407
"15","2",57.2162871986401
"16","2",170.006944444444
"17","2",50.4907251789605
"18","2",-132.719298245614
"19","2",352.493298368298
"20","2",-76.2777777777778
