"fixNum","session","subj","meanX","nFix"
1,"1","1",8.88888888888889,18
1,"1","5",-7.94736842105263,19
1,"1","6",5.31578947368421,19
1,"1","7",18.7857142857143,14
1,"1","8",9.82352941176471,17
1,"1","9",-4.375,16
1,"1","10",-32,11
1,"1","11",1.12820512820513,39
1,"1","12",-5.3,20
1,"1","13",-6.57894736842105,19
1,"1","15",-1.05263157894737,19
1,"1","16",-16.4705882352941,17
1,"1","18",13.6666666666667,9
1,"1","19",-4.33333333333333,18
1,"1","20",3.45454545454545,11
1,"2","1",16.65,20
1,"2","2",7,39
1,"2","5",14.8888888888889,18
1,"2","6",1.15789473684211,19
1,"2","7",0.263157894736842,19
1,"2","8",20.45,20
1,"2","9",3.1,20
1,"2","10",-1.90909090909091,11
1,"2","12",-3.63157894736842,19
1,"2","13",-0.384615384615385,13
1,"2","15",12.2941176470588,17
1,"2","16",26.8333333333333,18
1,"2","17",11.6285714285714,35
1,"2","18",-1.05263157894737,19
1,"2","19",7,18
1,"2","20",-18.4,5
2,"1","1",-14.5555555555556,18
2,"1","5",106,18
2,"1","6",-28.8421052631579,19
2,"1","7",220.928571428571,14
2,"1","8",87.4117647058823,17
2,"1","9",137.333333333333,15
2,"1","10",-13.8181818181818,11
2,"1","11",89.5384615384615,39
2,"1","12",43.95,20
2,"1","13",31.7368421052632,19
2,"1","15",114.894736842105,19
2,"1","16",99.7058823529412,17
2,"1","18",153.888888888889,9
2,"1","19",92.1176470588235,17
2,"1","20",115.363636363636,11
2,"2","1",150.55,20
2,"2","2",-0.974358974358974,39
2,"2","5",113.444444444444,18
2,"2","6",-203.263157894737,19
2,"2","7",105.473684210526,19
2,"2","8",167.95,20
2,"2","9",172.1,20
2,"2","10",76.4545454545455,11
2,"2","12",108.368421052632,19
2,"2","13",66,12
2,"2","15",126,17
2,"2","16",120.625,16
2,"2","17",121.485714285714,35
2,"2","18",92.7368421052632,19
2,"2","19",93.3888888888889,18
2,"2","20",60,4
3,"1","1",-121.5,18
3,"1","5",282,17
3,"1","6",-180.368421052632,19
3,"1","7",370.785714285714,14
3,"1","8",145.411764705882,17
3,"1","9",4.26666666666667,15
3,"1","10",-101.454545454545,11
3,"1","11",99.5384615384615,39
3,"1","12",17.3,20
3,"1","13",-42.5789473684211,19
3,"1","15",163.631578947368,19
3,"1","16",-3.05882352941176,17
3,"1","18",221.444444444444,9
3,"1","19",187.705882352941,17
3,"1","20",71.7272727272727,11
3,"2","1",-8.6,20
3,"2","2",-199.692307692308,39
3,"2","5",158.833333333333,18
3,"2","6",-240.473684210526,19
3,"2","7",145.052631578947,19
3,"2","8",127.65,20
3,"2","9",245.8,20
3,"2","10",211.818181818182,11
3,"2","12",139,19
3,"2","13",47.5833333333333,12
3,"2","15",81.5882352941177,17
3,"2","16",227.875,16
3,"2","17",42.8857142857143,35
3,"2","18",54.1052631578947,19
3,"2","19",196.666666666667,18
3,"2","20",-73,4
4,"1","1",-101.277777777778,18
4,"1","5",28.8823529411765,17
4,"1","6",-137.157894736842,19
4,"1","7",236.928571428571,14
4,"1","8",30.7058823529412,17
4,"1","9",-142.866666666667,15
4,"1","10",-123.363636363636,11
4,"1","11",43.3846153846154,39
4,"1","12",-182.05,20
4,"1","13",-227.263157894737,19
4,"1","15",186.736842105263,19
4,"1","16",61.7058823529412,17
4,"1","18",149.111111111111,9
4,"1","19",291.529411764706,17
4,"1","20",-85.8181818181818,11
4,"2","1",-212.05,20
4,"2","2",-182.710526315789,38
4,"2","5",210.833333333333,18
4,"2","6",-80.4736842105263,19
4,"2","7",31.8947368421053,19
4,"2","8",-209.2,20
4,"2","9",54.95,20
4,"2","10",-142.545454545455,11
4,"2","12",-48.6842105263158,19
4,"2","13",-206.25,12
4,"2","15",-30.2941176470588,17
4,"2","16",125.0625,16
4,"2","17",25.1142857142857,35
4,"2","18",-1.57894736842105,19
4,"2","19",287.277777777778,18
4,"2","20",-139,4
5,"1","1",-223.888888888889,18
5,"1","5",-36.4705882352941,17
5,"1","6",-43.3333333333333,18
5,"1","7",109.214285714286,14
5,"1","8",-155.647058823529,17
