"fixNum","session","subj","meanX","nFix"
5,"1","1",-104,14
5,"1","2",-183.133333333333,15
5,"1","3",-239.066666666667,15
5,"1","4",2.05263157894737,19
5,"1","5",-348.9375,16
5,"1","6",-158.6,20
5,"1","7",-55.75,20
5,"1","8",273,18
5,"1","9",-16.3684210526316,19
5,"1","10",158,15
5,"1","12",42.9411764705882,17
5,"1","15",-248.277777777778,18
5,"1","16",-43.8947368421053,19
5,"1","17",34.4736842105263,19
5,"1","19",-224.4,15
5,"1","20",326.6875,16
5,"2","1",-124.529411764706,17
5,"2","2",-365.5,20
5,"2","3",199.4,10
5,"2","4",137.55,20
5,"2","5",-337.6,20
5,"2","6",-279.384615384615,13
5,"2","7",-272.333333333333,18
5,"2","8",-304.909090909091,11
5,"2","9",-124.5,20
5,"2","10",21.9473684210526,19
5,"2","15",-187.823529411765,17
5,"2","16",-110.45,20
5,"2","17",-440,18
5,"2","18",-445.05,20
5,"2","20",-235.5,16
